nomes,idade,cidade,estado,cpf,cnpj,cpf_status,cnpj_status
Dennis Daniels,31,ACRELÂNDIA,AC,97566536800,06589184909526,Válido,Válido
Leah Becker,42,ÁGUA BRANCA,AL,42526380707,25673336235020,Válido,Válido
Sally Ford,18,ALVARÃES,AM,34647754103,26543101702989,Válido,Válido
Colleen Duncan,21,SERRA DO NAVIO,AP,25253156003,19062080510098,Válido,Válido
Jeff Stephenson,73,ABAÍRA,BA,49668886542,97794530015384,Válido,Válido
Sydney Curtis,85,ABAIARA,CE,50620290749,29476298085678,Válido,Válido
Kelly Matthews,44,Brasília,DF,39154836808,24709301957761,Válido,Válido
Juan Ruiz,39,AFONSO CLÁUDIO,ES,22688119648,02420338147900,Válido,Válido
Brian Thomas,26,ABADIA DE GOIÁS,GO,47475484084,70723419110335,Válido,Válido
Sara Ayers,62,AÇAILÂNDIA,MA,94830978864,88253689548382,Válido,Válido
Brady Cruz,83,ABADIA DOS DOURADOS,MG,03438452456,13118105069639,Válido,Válido
Samantha Wright,32,ÁGUA CLARA,MS,22203654090,04310317320252,Válido,Válido
Richard Turner,85,ACORIZAL,MT,79059712285,75595541223248,Válido,Válido
Ashley Sanders,73,ABAETETUBA,PA,75206513989,06923815165128,Válido,Válido
Thomas Jones,45,ÁGUA BRANCA,PB,34565179806,26574533273304,Válido,Válido
Ian Murray,68,ABREU E LIMA,PE,15277717099,85202887368851,Válido,Válido
Janice Jensen,79,ACAUÃ,PI,45081993646,89596067898809,Válido,Válido
Jeffrey Cunningham,48,ABATIÁ,PR,66549028825,18866688344242,Válido,Válido
Amanda Glass,49,ANGRA DOS REIS,RJ,86173803577,87380936406714,Válido,Válido
Kaitlyn Johnson,65,ACARI,RN,89737004213,40893546741494,Válido,Válido
Daniel Nelson,56,ALTA FLORESTA D'OESTE,RO,21019230681,39414072702140,Válido,Válido
Jimmy Neal,47,AMAJARI,RR,85072768490,25910961614308,Válido,Válido
Amy Ramirez,59,ACEGUÁ,RS,47660084135,27054334917081,Válido,Válido
Mr. Andrew Chapman MD,55,ABDON BATISTA,SC,64597685286,26848890535610,Válido,Válido
Ronnie Vazquez,42,AMPARO DE SÃO FRANCISCO,SE,85268818848,10194559328639,Válido,Válido
Eric Leonard DDS,48,ADAMANTINA,SP,03802580133,53997444309399,Válido,Válido
Cheryl Daniel,81,ABREULÂNDIA,TO,41518337651,16558428654046,Válido,Válido
John Gutierrez,75,ACRELÂNDIA,AC,48579786444,51477910241483,Válido,Válido
Carla White,26,ÁGUA BRANCA,AL,87007608116,54785062054510,Válido,Válido
Scott Clark,86,ALVARÃES,AM,01086471296,22967376001699,Válido,Válido
Kelsey Hicks,22,SERRA DO NAVIO,AP,73800120704,54407698631932,Válido,Válido
Tanya Boyd,88,ABAÍRA,BA,35813255605,08803153461585,Válido,Válido
David Garcia,31,ABAIARA,CE,10210388811,65359727572419,Válido,Válido
Michelle Sullivan,45,Brasília,DF,60338450726,18355115649365,Válido,Válido
Paula Wells,55,AFONSO CLÁUDIO,ES,31166242919,41934462986603,Válido,Válido
Lisa Fisher,49,ABADIA DE GOIÁS,GO,33626344436,79856843725548,Válido,Válido
Kayla Martin,79,AÇAILÂNDIA,MA,49643966062,24202707261295,Válido,Válido
Kathryn Johnson,28,ABADIA DOS DOURADOS,MG,14503645510,14740883542900,Válido,Válido
Craig Wallace,51,ÁGUA CLARA,MS,72852203456,52726400968055,Válido,Válido
Haley Serrano,31,ACORIZAL,MT,00904064000,82175250951962,Válido,Válido
Thomas Lindsey,88,ABAETETUBA,PA,13577872004,47759550719238,Válido,Válido
Andrew Francis,69,ÁGUA BRANCA,PB,06694239980,52081659158337,Válido,Válido
Tiffany Dean,44,ABREU E LIMA,PE,10858476401,92164335193964,Válido,Válido
Michael Thompson,76,ACAUÃ,PI,75747818694,18684837331789,Válido,Válido
Dalton Summers,50,ABATIÁ,PR,09507015728,08475711599204,Válido,Válido
Debra Jennings,58,ANGRA DOS REIS,RJ,54816784896,69500353849608,Válido,Válido
Andrew Olson,88,ACARI,RN,99281336383,92393983639915,Válido,Válido
Sarah Brown,35,ALTA FLORESTA D'OESTE,RO,17281287224,41420682752383,Válido,Válido
Miranda Pittman,37,AMAJARI,RR,71722038012,59659930319931,Válido,Válido
Pamela Manning,68,ACEGUÁ,RS,00067814891,63100755162838,Válido,Válido
Ann Collins,18,ABDON BATISTA,SC,92848876310,50612600931565,Válido,Válido
Kimberly Garcia,60,AMPARO DE SÃO FRANCISCO,SE,52063020906,83818138763026,Válido,Válido
Billy Cross,81,ADAMANTINA,SP,25745426659,08698401812890,Válido,Válido
Charles Rivera,60,ABREULÂNDIA,TO,86569526502,18767344587421,Válido,Válido
Abigail Bradley,41,ACRELÂNDIA,AC,14120370852,75214984462157,Válido,Válido
Jared Hernandez,72,ÁGUA BRANCA,AL,51072799707,70268860094409,Válido,Válido
Scott Jackson,87,ALVARÃES,AM,79455779978,03183153323626,Válido,Válido
Gregory Brown,31,SERRA DO NAVIO,AP,66210964885,34139727088243,Válido,Válido
Kelly Jenkins,79,ABAÍRA,BA,63740436506,57302550382603,Válido,Válido
Craig Reynolds,82,ABAIARA,CE,44084897434,42490414458532,Válido,Válido
Cindy Brown,28,Brasília,DF,11561438537,89158131394480,Válido,Válido
Diana Armstrong,50,AFONSO CLÁUDIO,ES,21054162336,09255575472722,Válido,Válido
Travis Morris,35,ABADIA DE GOIÁS,GO,50975942239,96592493662984,Válido,Válido
Edwin Martin,44,AÇAILÂNDIA,MA,72655983262,41619731869500,Válido,Válido
Linda Vargas MD,62,ABADIA DOS DOURADOS,MG,66562524512,22415824790549,Válido,Válido
Brianna Francis,82,ÁGUA CLARA,MS,70450747000,64010620614680,Válido,Válido
